gene/TE	cytoplasmic_dmso_3hrs_1	cytoplasmic_dmso_3hrs_2	cytoplasmic_dmso_3hrs_3	cytoplasmic_kpt185_3hrs_1	cytoplasmic_kpt185_3hrs_2	cytoplasmic_kpt185_3hrs_3	nuclear_dmso_3hrs_1	nuclear_dmso_3hrs_2	nuclear_dmso_3hrs_3	nuclear_kpt185_3hrs_1	nuclear_kpt185_3hrs_2	nuclear_kpt185_3hrs_3
"ENSG00000010810.17"	2376	1560	2163	1562	2409	1765	642	666	773	685	978	505
"ENSG00000010818.10"	1320	865	1245	866	1310	952	395	401	498	470	722	354
"ENSG00000010932.17"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000011007.13"	2594	1592	2318	1802	2863	1925	621	640	834	847	1355	693
"ENSG00000011009.11"	1347	757	1113	841	1362	934	234	219	289	330	432	237
"ENSG00000011021.23"	190	115	170	116	166	135	222	225	249	259	380	179
"ENSG00000011028.14"	218	139	188	140	280	194	238	233	242	263	335	240
"ENSG00000011052.21"	5549	3686	4834	4029	5792	4263	681	721	886	988	1356	893
"ENSG00000011083.9"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000011105.14"	630	356	504	381	605	398	241	273	314	298	471	294
"ENSG00000011114.15"	1698	1083	1504	1085	1734	1186	412	447	529	520	799	412
"ENSG00000011132.12"	213	97	182	127	184	146	87	80	68	113	165	108
"ENSG00000011143.19"	773	471	674	483	795	588	280	273	347	437	632	333
"ENSG00000011198.10"	495	315	451	291	472	369	160	180	200	181	261	137
"ENSG00000011201.12"	1316	924	1143	952	1589	1175	852	759	891	1061	1409	784
"ENSG00000011243.19"	1122	621	912	578	865	578	479	476	562	621	985	513
"ENSG00000011258.16"	1176	750	1095	1088	1528	1158	450	525	537	727	1120	576
"ENSG00000011260.14"	2119	1291	1851	1342	1902	1379	432	454	572	608	867	428
"ENSG00000011275.19"	1539	955	1355	701	1165	756	445	455	552	466	705	364
"ENSG00000011295.16"	2034	1256	1844	1374	2173	1580	760	710	914	949	1293	737
"ENSG00000011304.22"	15294	9408	13062	9829	15287	11093	2842	2865	3504	4130	5962	3272
